sitecode,samplecode,season,FieldCode,Community,CommCode,Location,Mainstem,Latitude,Longitude,Field1,ID,HgT_A_wet,HgT_B_wet,HgT_C_wet,HgT_D_wet,Percent_Solid_A,Percent_Solid_B,Percent_Solid_C,HgT_A,HgT_B,HgT_C,loc50,section,sectiondiff,sec1,sec2,sec3,hgt_avg,hgt1000_avg
01ATA-U1,1-01ATA-U1-1,1,,Atalaya,ATA,1,1,-12.89297,-71.36229,,57,0.0066,0.0063,0.0075,,0.737043996,0.741002406,0.731648057,0.008954689,0.008501997,0.01025083,0.02,1,0,1,0,0,0.009235839,9.235838736
01ATA-U1,1-01ATA-U1-3,1,,Atalaya,ATA,1,1,-12.89297,-71.36229,,58,0.005,0.0053,0.0079,,0.708314095,0.721186578,0.707861139,0.007059015,0.007349,0.011160381,0.02,1,0,1,0,0,0.008522799,8.522798673
01ATA-U2,2-01ATA-U2-1,2,,Atalaya,ATA,1,1,-12.89706,-71.36951,,59,0.0041,0.0041,0.004,0.0044,0.704,0.764,0.688,0.006,0.005,0.006,0.02,1,0,1,0,0,0.005666667,5.666666667
01BAM-D1,1-01BAM-D1-1,1,,Boca Amigo,BAM,297,1,-12.59055,-70.07648,,102,0.0128,0.0123,0.0125,,0.648634944,0.643718264,0.62316821,0.01973375,0.019107738,0.02005879,5.94,2,0,180,117,0,0.019633426,19.63342598
01BAM-D1,1-01BAM-D1-3,1,,Boca Amigo,BAM,297,1,-12.59055,-70.07648,,103,0.0083,0.0094,0.0085,,0.699976408,0.68727378,0.687906738,0.011857542,0.013677228,0.012356326,5.94,2,0,180,117,0,0.012630365,12.63036545
01BAM-D1,2-01BAM-D1-1,2,,Boca Amigo,BAM,297,1,-12.59055,-70.07648,,104,0.0104,0.0088,0.0117,,0.697204722,0.675488574,0.680312977,0.014916709,0.013027607,0.017197967,5.94,2,0,180,117,0,0.015047428,15.04742778
01BAM-D1,2-01BAM-D1-3,2,,Boca Amigo,BAM,297,1,-12.59055,-70.07648,,105,0.0185,0.0174,0.0157,,0.610970464,0.604757963,0.634790528,0.030279696,0.028771841,0.024732568,5.94,2,0,180,117,0,0.027928035,27.92803511
01BAM-Q1,1-01BAM-Q1-1,1,,Boca Amigo,BAM,293,1,-12.595,-70.089,,101,0.0121,0.0124,0.0113,,0.697858957,0.723368372,0.532364049,0.017338747,0.017142027,0.021226076,5.86,2,0,180,113,0,0.01856895,18.56895011
01BAM-Q2,1-01BAM-Q2,1,,Boca Amigo,BAM,294,1,-12.597,-70.088,,100,0.0114,,0.0113,,0.629941175,,0.624731769,0.018096928,,0.018087763,5.88,2,0,180,114,0,0.018092345,18.09234529
01BCO-D1,1-01BCO-D1-3,1,,Boca Colorado,BCO,227,1,-12.6162,-70.37912,,92,0.0436,0.0119,0.0061,,0.738661394,0.730446201,0.745296971,0.059025692,0.016291412,0.008184657,4.54,2,0,180,47,0,0.02783392,27.83392032
01BCO-D1,2-01BCO-D1-1,2,,Boca Colorado,BCO,227,1,-12.6162,-70.37912,,93,0.0121,0.0123,0.0104,,0.709212178,0.70142401,0.707282543,0.017061185,0.017535756,0.014704166,4.54,2,0,180,47,0,0.016433702,16.43370215
01BCO-D1,2-01BCO-D1-3,2,,Boca Colorado,BCO,227,1,-12.6162,-70.37912,,94,0.0038,0.0043,0.0032,0.0029,0.757,0.79,0.764,0.005,0.0054,0.0042,4.54,2,0,180,47,0,0.004866667,4.866666667
01BCO-Q1,1-01BCO-Q1-1,1,,Boca Colorado,BCO,222,1,-12.591,-70.394,,84,0.0134,0.0159,0.0124,,0.679684271,0.672204737,0.688896009,0.019715036,0.023653508,0.017999814,4.44,2,0,180,42,0,0.020456119,20.45611932
01BIN-D1,1-01BIN-D1-1,1,,Boca Inambari,BIN,363,1,-12.71972,-69.67499,,43,0.0253,0.0149,0.0151,,0.57051231,0.810504264,0.506159015,0.044346107,0.018383617,0.029832522,7.26,2,0,180,183,0,0.030854082,30.8540821
01BIN-D1,1-01BIN-D1-3,1,,Boca Inambari,BIN,363,1,-12.71972,-69.67499,,44,0.0075,0.0047,0.0185,,0.759359934,0.740628606,0.738176579,0.009876739,0.006345961,0.025061754,7.26,2,0,180,183,0,0.013761485,13.76148468
01BIN-D1,2-01BIN-D1-1,2,,Boca Inambari,BIN,363,1,-12.71972,-69.67499,,45,0.0374,0.0382,0.0386,,0.701189244,0.771471133,0.520689046,0.053337955,0.049515787,0.074132537,7.26,2,0,180,183,0,0.058995426,58.99542606
01BIN-D1,2-01BIN-D1-3,2,,Boca Inambari,BIN,363,1,-12.71972,-69.67499,,46,0.0106,0.0121,0.0081,,0.720272172,0.63848636,0.591844843,0.014716659,0.01895107,0.013686019,7.26,2,0,180,183,0,0.015784583,15.78458299
01BIN-Q1,1-01BIN-Q1-3,1,,Boca Inambari,BIN,355,1,-12.717,-69.676,,38,0.0128,0.0163,0.0123,,0.57545597,0.792284268,0.475116083,0.022243231,0.020573424,0.02588841,7.1,2,0,180,175,0,0.022901688,22.90168824
01BIN-U1,1-01BIN-U1-1,1,,Boca Inambari,BIN,354,1,-12.70803,-69.74635,,34,0.0141,0.0121,0.0162,,0.653454773,0.658166413,0.600969532,0.021577622,0.018384408,0.026956441,7.08,2,0,180,174,0,0.022306157,22.30615718
01BIN-U1,1-01BIN-U1-3,1,,Boca Inambari,BIN,354,1,-12.70803,-69.74635,,35,0.0227,0.0198,0.0185,,0.609284746,0.650525851,0.624663209,0.0372568,0.030436915,0.029615959,7.08,2,0,180,174,0,0.032436558,32.43655803
01BIN-U1,2-01BIN-U1-1,2,,Boca Inambari,BIN,354,1,-12.70803,-69.74635,,37,0.0075,0.0071,0.0067,,0.738014466,0.731842508,0.713065695,0.010162402,0.009701541,0.009396049,7.08,2,0,180,174,0,0.009753331,9.75333067
01BIN-U1,2-01BIN-U1-3,2,,Boca Inambari,BIN,354,1,-12.70803,-69.74635,,36,0.0087,0.0089,0.0092,,0.73269078,0.69694938,0.727187792,0.01187404,0.012769937,0.012651478,7.08,2,0,180,174,0,0.012431818,12.43181849
01BMA-D1,1-01BMA-D1-1,1,,Boca Manu,BMA,110,1,-12.29701,-70.87011,,76,0.0091,0.0089,0.0088,,0.689897536,0.695892723,0.710883703,0.013190365,0.012789328,0.012378959,2.2,1,0,110,0,0,0.012786217,12.78621694
01BMA-D1,1-01BMA-D1-1,1,,Boca Manu,BMA,110,1,-12.29701,-70.87011,,77,0.0081,0.0082,0.0077,,0.689897536,0.695892723,0.710883703,0.011740874,0.011783425,0.010831589,2.2,1,0,110,0,0,0.011451963,11.45196274
01BMA-D1,1-01BMA-D1-2,1,,Boca Manu,BMA,110,1,-12.29701,-70.87011,,78,,,,,0.599104788,0.525700788,0.535166742,,,,2.2,1,0,110,0,0,,
01BMA-D1,1-01BMA-D1-3,1,,Boca Manu,BMA,110,1,-12.29701,-70.87011,,79,0.0039,0.0048,0.0045,,0.771703498,0.829415842,0.780779465,0.005053754,0.005787206,0.005763471,2.2,1,0,110,0,0,0.00553481,5.534810436
01BMA-D1,2-01BMA-D1-2,2,,Boca Manu,BMA,110,1,-12.29701,-70.87011,,81,,,,,0.742750572,0.719389198,0.753393409,,,,2.2,1,0,110,0,0,,
01BMA-D1,2-01BMA-D1-3,2,,Boca Manu,BMA,110,1,-12.29701,-70.87011,,80,0.0032,0.0026,0.0054,,0.753050721,0.788532918,0.595771805,0.004249382,0.003297262,0.009063873,2.2,1,0,110,0,0,0.005536839,5.536839091
01BMA-Q2,1-01BMA-Q2-3,1,,Boca Manu,BMA,106,1,-12.2798183,-70.8673427,,74,0.0079,0.0076,0.008,,0.653014458,0.662641803,0.670548083,0.012097741,0.011469243,0.011930539,2.12,1,0,106,0,0,0.011832508,11.83250782
01BMA-Q4,2-01BMA-Q2-1,2,2-01BMA-Q2,Boca Manu,BMA,102,1,-12.26757,-70.92433,,75,0.0071,0.0081,0.0054,0.006,,,,,,,2.04,1,0,102,0,0,,
01BMA-U1,1-01BMA-U1-1,1,,Boca Manu,BMA,100,1,-12.28635,-70.93368,,65,0.0082,0.0081,0.0081,,0.678041382,0.684428433,0.687028474,0.012093657,0.011834692,0.011789904,2,1,0,100,0,0,0.011906085,11.90608464
