SiteCode,FieldCode,Community,CommCode,Location,Point_Y,Point_X,Field1,location2,SampleCode,Mainstem,TSS_1,TSS_2,TSS_3,TSS_avg,TSS_stdev,Hg_p_a,Hg_p_b,Hg_p_c,Hg_p_avg,Hg_p_stdev,Hg_ss_a,Hg_ss_b,Hg_ss_c,Hg_ss_avg,Hg_ss_stdev,season,loc50,section,sectiondiff,sec1,sec2,sec3
01ATA-U1,,Atalaya,ATA,1,-12.89297,-71.36229,,1,1-01ATA-U1-24AB,1,762.5,718.5,,741,31,,,,,,,,,,,1,0.02,1,0,1,0,0
01ATA-U2,,Atalaya,ATA,1,-12.89706,-71.36951,,1,2-01ATA-U2-14AB,1,15.9,17.5,,16.7,1.1,1.172985174,0.413869122,,0.793427148,0.536776108,,,,,,2,0.02,1,0,1,0,0
01BAM-D1,,Boca Amigo,BAM,297,-12.59055,-70.07648,,297,1-01BAM-D1-24A,1,1028.4,1040.8,,1034.6,8.768124087,16.59255171,16.77490606,,16.68372889,0.128943996,0.016037649,0.016213905,,0.016125777,0.000124632,1,5.94,2,0,180,117,0
01BAM-D1,,Boca Amigo,BAM,297,-12.59055,-70.07648,,297,2-01BAM-D1-24A,1,332.4,296.8,314,314.4,17.80337047,18.1217335,14.9655943,,16.5436639,2.231727432,0.057639101,0.047600491,,0.052619796,0.00709837,2,5.94,2,0,180,117,0
01BAM-Q1,,Boca Amigo,BAM,293,-12.595,-70.089,,293,1-01BAM-Q1-34A,1,923.6,,,923.6,,,,,,,,,,,,1,5.86,2,0,180,113,0
01BAM-Q2,,Boca Amigo,BAM,294,-12.597,-70.088,,294,1-01BAM-Q2-24A,1,624.6,607.4,,614.5287595,10.03082177,21.87691558,17.3809804,,19.62894799,3.179106253,0.035599498,0.028283429,,0.031941464,0.005173242,1,5.88,2,0,180,114,0
01BAM-Q3,2-01BAM-Q1,Boca Amigo,BAM,292,-12.57744,-70.09698,,293,2-01BAM-Q1-34A,1,399.6,390,440,409.8666667,26.53400334,13.9446828,12.66939551,10.92149118,12.51185649,1.517740357,0.034022486,0.030911017,,0.032466751,0.002200141,2,5.84,2,0,180,112,0
01BCO-D1,,Boca Colorado,BCO,227,-12.6162,-70.37912,,227,1-01BCO-D1-24A,1,482.9,544,,513.4285714,43.23452891,,,,,,,,,,,1,4.54,2,0,180,47,0
01BCO-D1,,Boca Colorado,BCO,227,-12.6162,-70.37912,,227,2-01BCO-D1-24A,1,130,151.5,,140.7333333,15.17922557,3.802776517,4.055098805,,3.928937661,0.178418801,0.02702115,0.028814061,,0.027917605,0.001267779,2,4.54,2,0,180,47,0
01BCO-Q1,,Boca Colorado,BCO,222,-12.591,-70.394,,222,1-01BCO-Q1-34A,1,519.1,415.7,,467.4285714,73.13504423,17.75998207,12.78877303,,15.27437755,3.515175625,0.037995072,0.027359845,,0.032677458,0.007520241,1,4.44,2,0,180,42,0
01BCO-Q2,,Boca Colorado,BCO,223,-12.598,-70.413,,223,1-01BCO-Q2-24A,3,178,265.5,,221.8,61.9,4.51338653,5.058768051,,4.78607729,0.385642972,0.024413179,0.027363181,,0.02588818,0.002085966,1,4.46,2,0,180,43,0
01BCO-Q3,2-01BCO-Q1,Boca Colorado,BCO,223,-12.59653,-70.39297,,222,2-01BCO-Q1-34A,1,79.3,137.3,,108.3333333,41.01219331,2.366936808,2.954000626,,2.660468717,0.415116807,0.021848647,0.027267698,,0.024558173,0.003831847,2,4.46,2,0,180,43,0
01BIN-D1,,Boca Inambari,BIN,363,-12.71972,-69.67499,,363,1-01BIN-D1-24A,1,704,982,,843,196.5756852,20.83712222,14.53727573,,17.68719897,4.454664174,0.02471782,0.017244692,,0.020981256,0.005284299,1,7.26,2,0,180,183,0
01BIN-D1,,Boca Inambari,BIN,363,-12.71972,-69.67499,,363,2-01BIN-D1-24A,1,177.2,170.8,169.2,172.4,4.233202098,10.83612996,14.14502145,16.54196006,13.84103716,2.86503562,0.062854582,0.082047688,,0.072451135,0.013571575,2,7.26,2,0,180,183,0
01BIN-Q1,,Boca Inambari,BIN,355,-12.717,-69.676,,355,1-01BIN-Q1-23A,1,516,652,,584.4,95.60083682,15.09377275,,,15.09377275,,0.025827811,,,0.025827811,,1,7.1,2,0,180,175,0
01BIN-Q2,2-01BIN-Q1,Boca Inambari,BIN,355,-12.71733,-69.67623,,355,2-01BIN-Q1-24A,1,119.7,131.1,120.6,123.8095238,6.365297071,3.967094749,4.151535602,3.670740936,3.929790429,0.24255842,0.032041919,0.033531634,,0.032786776,0.001053387,2,7.1,2,0,180,175,0
01BIN-U1,,Boca Inambari,BIN,354,-12.70803,-69.74635,,354,1-01BIN-U1-23A,1,578,685,,631.6,75.80184694,25.29841197,22.28254652,,23.79047924,2.132538913,0.040054484,0.035279523,,0.037667003,0.003376407,1,7.08,2,0,180,174,0
01BIN-U1,,Boca Inambari,BIN,354,-12.70803,-69.74635,,354,2-01BIN-U1-24A,1,234.6,352,311.6,299.3904762,59.65879399,10.94915917,10.98926727,,10.96921322,0.028360712,0.036571501,0.036705467,,0.036638484,9.47282E-05,2,7.08,2,0,180,174,0
01BMA-D1,,Boca Manu,BMA,110,-12.29701,-70.87011,,110,2-01BMA-D1-24A,1,60.3,59.6,,59.93907705,0.496075039,1.819847033,1.71468574,,1.767266387,0.074360263,0.030361613,0.028607143,,0.029484378,0.001240597,2,2.2,1,0,110,0,0
01BMA-Q5,2-01BMA-Q3,Boca Manu,BMA,103,-12.2883,-70.87144,,113,2-01BMA-Q3-24A,3,31.1,,,31.1,10.84230398,,,,,,,,,,,2,2.06,1,0,103,0,0
01BMA-U1,,Boca Manu,BMA,100,-12.28635,-70.93368,,100,1-01BMA-U1-24A,1,550.3,644,,597.2,66.2,5.041750748,5.159624089,,5.100687419,0.083349039,0.009827974,0.010057747,,0.00994286,0.000162474,1,2,1,0,100,0,0
01BMA-U1,,Boca Manu,BMA,100,-12.28635,-70.93368,,100,2-01BMA-U1-24A,1,33.1,38.9,32.7,34.9047619,3.429563349,0.87903881,1.066767868,,0.972903339,0.13274449,0.025183922,0.030562245,,0.027873083,0.003803048,2,2,1,0,100,0,0
01BMD-D1,,Bajo Madre de Dios,BMD,487,-12.60398,-69.13095,,487,1-01BMD-D1-24A,1,400.8,415,,407.9,10.04091629,,15.22278231,,15.22278231,,,0.037319888,,0.037319888,,1,9.74,3,0,180,280,87
01BMD-D1,,Bajo Madre de Dios,BMD,487,-12.60398,-69.13095,,487,2-01BMD-D1-24A,1,87.6,92.4,151.6,110.5333333,35.6456636,13.83187832,8.822419495,11.03839041,11.23089607,2.510271549,0.12513762,0.079816823,,0.102477222,0.032046643,2,9.74,3,0,180,280,87
01BMD-D2,,Bajo Madre de Dios,BMD,490,-12.604795,-69.1033864,,490,1-01BMD-D2-24A,1,528.8,556.8,,542.8,19.79898987,20.78068718,20.74917261,,20.76492989,0.022284167,0.038284243,0.038226184,,0.038255214,4.10541E-05,1,9.8,3,0,180,280,90
01BMD-Q2,2-01BMD-Q1,Bajo Madre de Dios,BMD,484,-12.59849,-69.16039,,484,2-01BMD-Q1-24A,1,39,38.4,26,34.46666667,7.33848304,3.32432701,1.652968844,2.410841644,2.462712499,0.836885577,0.096450494,0.047958477,,0.072204485,0.034289034,2,9.68,3,0,180,280,84
01BPI-D1,,Bajo Piedras,BPI,466,-12.4843487,-69.1818534,,466,1-01BPI-D1-23A,1,554.8,518,,536.4,26.02152955,,16.73668943,,16.73668943,,,0.031201882,,0.031201882,,1,9.32,3,0,180,280,66
01BPI-Q1,,Bajo Piedras,BPI,463,-12.505,-69.22,,463,1-01BPI-Q1-34A,1,396,,,396,,14.11264458,15.76562172,,14.93913315,1.168831347,0.035637991,0.039812176,,0.037725084,0.002951594,1,9.26,3,0,180,280,63
01FOR-D1,,Fortuna,FOR,373,-12.70421,-69.63218,,373,2-01FOR-D1-24A,1,116.6,83.1,101.4,100.3809524,16.73889113,10.39584944,10.46747445,,10.43166195,0.05064653,0.103563965,0.104277497,,0.103920731,0.000504543,2,7.46,2,0,180,193,0
01FOR-Q1,,Fortuna,FOR,374,-12.705,-69.622,,374,1-01FOR-Q1-24A,1,295.7,,,295.7142857,,19.78935857,18.56223814,,19.17579835,0.867705181,0.066920536,0.062770854,,0.064845695,0.002934269,1,7.48,2,0,180,194,0
01ITA-D1,,Itahuania,ITA,46,-12.63032,-71.22433,,46,2-01ITA-D1-24A,1,46.8,56.6,71.6,58.3,6.929646456,1.144891835,1.395989755,,1.270440795,0.177553042,0.02214491,0.027001736,,0.024573323,0.003434295,2,0.92,1,0,46,0,0
01ITA-Q1,,Itahuania,ITA,47,-12.661,-71.224,,47,1-01ITA-Q1-24A,1,425.2,552.8,,488.9757576,90.26110924,3.969867006,3.498759193,,3.734313099,0.33312353,0.00811874,0.007155282,,0.007637011,0.000681268,1,0.94,1,0,47,0,0
01ITA-Q2,2-01ITA-Q1,Itahuania,ITA,47,-12.66088,-71.22364,,47,2-01ITA-Q1-14A,3,115.8,118.8,96.2,110.3,2.121320344,1.805685643,2.208702324,,2.007193984,0.284975828,0.01539374,0.018829517,,0.017111628,0.002429461,2,0.94,1,0,47,0,0
01ITA-Q3,2-01ITA-Q2,Itahuania,ITA,42,-12.65777,-71.22494,,48,2-01ITA-Q2-24A,3,46,46,47.9,46.6,1.70826E-13,,,,,,,,,,,2,0.84,1,0,42,0,0
01ITA-U1,,Itahuania,ITA,46,-12.632446,-71.2279964,,46,1-01ITA-U1-24A,1,522.8,526.8,,524.8,2.828427125,3.32954395,4.691330348,,4.010437149,0.962928396,0.006344405,0.008939273,,0.007641839,0.001834848,1,0.92,1,0,46,0,0
01LAB-D1,,Laberinto,LAB,380,-12.71045,-69.57357,,380,1-01LAB-D1-24A,1,496.5,307.8,535.8,446.7,121.8955325,24.60947143,25.398075,,25.00377321,0.557626933,0.055095832,0.056861362,,0.055978597,0.001248419,1,7.6,2,0,180,200,0
01LAB-D1,,Laberinto,LAB,380,-12.71045,-69.57357,,380,2-01LAB-D1-24A,1,112.9,124.9,90.6,109.4,8.485281374,11.28908167,8.743658014,,10.01636984,1.799886329,0.094980254,0.07356443,,0.084272342,0.015143274,2,7.6,2,0,180,200,0
